ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
211,Koramangala,Bangalore,Tandoor Hut,300,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59
221,Koramangala,Bangalore,Tunday Kababi,300,4.1,100,"Mughlai,Lucknowi",5Th Block,56
246,Jogupalya,Bangalore,Kim Lee,650,4.4,100,Chinese,Double Road,50
248,Indiranagar,Bangalore,New Punjabi Hotel,250,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57
249,Indiranagar,Bangalore,Nh8,350,4,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63
254,Indiranagar,Bangalore,Treat,800,4.5,100,"Mughlai,North Indian",100 Feet Road,56
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000,4.5,500,"Mexican,Beverages,Salads",Double Road,53
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57
267,Domlur,Bangalore,Tea Brew,350,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57
308,Koramangala,Bangalore,Bangaliana,300,4,500,Bengali,7Th Block,57
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400,4.4,100,"Chinese,Thai,Nepalese",5Th Block,56
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,"North Indian,Chinese",Cooke Town,55
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54
464,Sivanchetti Gardens,Bangalore,Urban Solace,500,2.9,80,"American,Continental",Ulsoor Lake,48
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290,4.3,100,"Mughlai,North Indian",7Th Block,52
608,Domlur,Bangalore,Kerala Pavilion,300,4.1,100,"Kerala,Seafood",Domlur Layout,55
621,Indiranagar,Bangalore,Kitchen Of Joy,250,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55
1050,Jayanagar,Bangalore,Nagarjuna Chimney,800,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48
